구분,세대수,전체 인구수(외국인 제외),남자 인구수(외국인 제외),여자 인구수(외국인 제외),전월 인구수,증감,통,반,외국인
범어1동,7829,20500,9794,10706,20205,295,26,209,66
범어2동,6658,14294,6815,7479,14360,-66,22,160,115
범어3동,6670,17463,8386,9077,17501,-38,21,153,92
범어4동,6518,19066,9403,9663,19068,-2,26,171,35
만촌1동,8571,20761,10073,10688,20770,-9,36,242,71
만촌2동,4966,10703,5318,5385,10381,322,20,130,84
만촌3동,7645,21183,11024,10159,21039,144,27,212,137
수성1가동,7114,16920,7672,9248,16958,-38,25,187,40
수성2.3가동,4271,10470,5098,5372,10515,-45,18,104,43
수성4가동,5674,13357,6153,7204,13365,-8,22,164,46
황금1동,8055,21924,10463,11461,21890,34,25,219,31
황금2동,5781,11309,5369,5940,11337,-28,19,106,82
중동,7081,14473,7119,7354,14462,11,26,154,102
상동,7431,14549,7053,7496,14575,-26,25,158,139
파동,7040,15296,7297,7999,15219,77,22,152,46
두산동,7437,14711,7097,7614,14652,59,23,132,156
지산1동,10045,19417,9212,10205,19487,-70,35,227,99
지산2동,8449,18761,8746,10015,18800,-39,25,247,41
범물1동,5732,10113,4559,5554,10150,-37,26,165,28
범물2동,6527,15915,7671,8244,15939,-24,26,181,27
고산1동,12054,31250,15073,16177,31192,58,44,337,78
고산2동,10689,26374,12956,13418,26469,-95,40,289,72
고산3동,12199,30123,14398,15725,30143,-20,41,308,63
